participant,condition,total.money,trial.number,trial.money,exploded,pumps,life
1,expansive,910,0,62,0,62,72
1,expansive,910,1,0,1,27,27
1,expansive,910,2,47,0,47,98
1,expansive,910,3,0,1,86,86
1,expansive,910,4,60,0,60,104
1,expansive,910,5,0,1,26,26
1,expansive,910,6,0,1,17,17
1,expansive,910,7,31,0,31,49
1,expansive,910,8,48,0,48,56
1,expansive,910,9,91,0,91,106
1,expansive,910,10,95,0,95,105
1,expansive,910,11,0,1,49,49
1,expansive,910,12,0,1,65,65
1,expansive,910,13,0,1,39,39
1,expansive,910,14,35,0,35,66
1,expansive,910,15,61,0,61,67
1,expansive,910,16,0,1,59,59
1,expansive,910,17,0,1,18,18
1,expansive,910,18,32,0,32,106
1,expansive,910,19,56,0,56,87
1,expansive,910,20,69,0,69,107
1,expansive,910,21,0,1,26,26
1,expansive,910,22,49,0,49,55
1,expansive,910,23,0,1,14,14
1,expansive,910,24,46,0,46,115
1,expansive,910,25,70,0,70,88
1,expansive,910,26,0,1,34,34
1,expansive,910,27,0,1,33,33
1,expansive,910,28,58,0,58,73
1,expansive,910,29,0,1,86,86
2,constrictive,756,0,4,0,4,72
2,constrictive,756,1,15,0,15,27
2,constrictive,756,2,25,0,25,98
2,constrictive,756,3,43,0,43,86
2,constrictive,756,4,59,0,59,104
2,constrictive,756,5,0,1,26,26
2,constrictive,756,6,0,1,17,17
2,constrictive,756,7,13,0,13,49
2,constrictive,756,8,24,0,24,56
2,constrictive,756,9,40,0,40,106
2,constrictive,756,10,50,0,50,105
2,constrictive,756,11,0,1,49,49
2,constrictive,756,12,40,0,40,65
2,constrictive,756,13,0,1,39,39
2,constrictive,756,14,28,0,28,66
2,constrictive,756,15,43,0,43,67
2,constrictive,756,16,43,0,43,59
2,constrictive,756,17,0,1,18,18
2,constrictive,756,18,56,0,56,106
2,constrictive,756,19,21,0,21,87
2,constrictive,756,20,45,0,45,107
2,constrictive,756,21,0,1,26,26
2,constrictive,756,22,0,1,55,55
2,constrictive,756,23,0,1,14,14
2,constrictive,756,24,40,0,40,115
2,constrictive,756,25,45,0,45,88
2,constrictive,756,26,21,0,21,34
2,constrictive,756,27,30,0,30,33
2,constrictive,756,28,28,0,28,73
2,constrictive,756,29,43,0,43,86
3,expansive,786,0,0,1,72,72
3,expansive,786,1,0,1,27,27
3,expansive,786,2,70,0,70,98
3,expansive,786,3,0,1,86,86
3,expansive,786,4,65,0,65,104
3,expansive,786,5,0,1,26,26
3,expansive,786,6,0,1,17,17
3,expansive,786,7,0,1,49,49
3,expansive,786,8,44,0,44,56
3,expansive,786,9,65,0,65,106
3,expansive,786,10,59,0,59,105
3,expansive,786,11,0,1,49,49
3,expansive,786,12,0,1,65,65
3,expansive,786,13,0,1,39,39
3,expansive,786,14,53,0,53,66
3,expansive,786,15,0,1,67,67
3,expansive,786,16,0,1,59,59
3,expansive,786,17,0,1,18,18
3,expansive,786,18,60,0,60,106
3,expansive,786,19,64,0,64,87
3,expansive,786,20,85,0,85,107
3,expansive,786,21,0,1,26,26
3,expansive,786,22,0,1,55,55
3,expansive,786,23,0,1,14,14
3,expansive,786,24,71,0,71,115
3,expansive,786,25,0,1,88,88
3,expansive,786,26,0,1,34,34
3,expansive,786,27,0,1,33,33
3,expansive,786,28,67,0,67,73
3,expansive,786,29,83,0,83,86
4,constrictive,699,0,29,0,29,72
4,constrictive,699,1,0,1,27,27
4,constrictive,699,2,20,0,20,98
4,constrictive,699,3,28,0,28,86
4,constrictive,699,4,34,0,34,104
4,constrictive,699,5,0,1,26,26
4,constrictive,699,6,0,1,17,17
4,constrictive,699,7,11,0,11,49
4,constrictive,699,8,20,0,20,56
4,constrictive,699,9,30,0,30,106
4,constrictive,699,10,32,0,32,105
4,constrictive,699,11,32,0,32,49
4,constrictive,699,12,35,0,35,65
4,constrictive,699,13,0,1,39,39
4,constrictive,699,14,32,0,32,66
4,constrictive,699,15,36,0,36,67
4,constrictive,699,16,30,0,30,59
4,constrictive,699,17,0,1,18,18
4,constrictive,699,18,32,0,32,106
4,constrictive,699,19,33,0,33,87
4,constrictive,699,20,35,0,35,107
