stimulus_index,stimulus,input_time_ms,input_index,key_symbol,transcribed_string
0,aekbru,0,0,a,aekbru
0,aekbru,249,1,e,aekbru
0,aekbru,936,2,k,aekbru
0,aekbru,1154,3,b,aekbru
0,aekbru,1309,4,r,aekbru
0,aekbru,1466,5,u,aekbru
1,gvjbhj,0,0,g,gvjbhj
1,gvjbhj,1403,1,v,gvjbhj
1,gvjbhj,1559,2,j,gvjbhj
1,gvjbhj,2121,3,b,gvjbhj
1,gvjbhj,2246,4,h,gvjbhj
1,gvjbhj,2433,5,j,gvjbhj
2,blpsdt,0,0,b,blpsdt
2,blpsdt,93,1,l,blpsdt
2,blpsdt,749,2,p,blpsdt
2,blpsdt,874,3,s,blpsdt
2,blpsdt,1185,4,d,blpsdt
2,blpsdt,1559,5,t,blpsdt
3,vrutaa,0,0,v,vrutaa
3,vrutaa,250,1,r,vrutaa
3,vrutaa,437,2,u,vrutaa
3,vrutaa,654,3,t,vrutaa
3,vrutaa,842,4,t,vrutaa
3,vrutaa,1279,5,BackSpace,vrutaa
3,vrutaa,1529,6,a,vrutaa
3,vrutaa,1716,7,a,vrutaa
4,uogkww,0,0,u,uogkww
4,uogkww,155,1,o,uogkww
4,uogkww,1028,2,g,uogkww
4,uogkww,1465,3,k,uogkww
4,uogkww,1559,4,w,uogkww
4,uogkww,1746,5,w,uogkww
5,ohrswt,0,0,o,ohrswt
5,ohrswt,217,1,h,ohrswt
5,ohrswt,654,2,r,ohrswt
5,ohrswt,936,3,s,ohrswt
5,ohrswt,1154,4,w,ohrswt
5,ohrswt,1372,5,t,ohrswt
6,qwcbcr,0,0,q,qwcbcr
6,qwcbcr,187,1,w,qwcbcr
6,qwcbcr,811,2,c,qwcbcr
6,qwcbcr,1529,3,b,qwcbcr
6,qwcbcr,1964,4,c,qwcbcr
6,qwcbcr,2401,5,r,qwcbcr
7,awnjvd,0,0,a,awnjvd
7,awnjvd,187,1,w,awnjvd
7,awnjvd,842,2,n,awnjvd
7,awnjvd,1029,3,j,awnjvd
7,awnjvd,1934,4,v,awnjvd
7,awnjvd,2152,5,d,awnjvd
8,pshegog,0,0,p,pshegog
8,pshegog,155,1,s,pshegog
8,pshegog,685,2,h,pshegog
8,pshegog,810,3,e,pshegog
8,pshegog,1403,4,g,pshegog
8,pshegog,1528,5,o,pshegog
8,pshegog,1621,6,g,pshegog
9,lsctddy,0,0,l,lsctddy
9,lsctddy,92,1,s,lsctddy
9,lsctddy,374,2,c,lsctddy
9,lsctddy,624,3,t,lsctddy
9,lsctddy,1122,4,d,lsctddy
9,lsctddy,1247,5,d,lsctddy
9,lsctddy,1404,6,y,lsctddy
10,vwmbqq,0,0,v,vwmbqq
10,vwmbqq,342,1,w,vwmbqq
10,vwmbqq,560,2,m,vwmbqq
10,vwmbqq,1278,3,b,vwmbqq
10,vwmbqq,1590,4,q,vwmbqq
10,vwmbqq,1777,5,q,vwmbqq
11,ophxwt,0,0,o,ophxwt
11,ophxwt,94,1,p,ophxwt
11,ophxwt,654,2,h,ophxwt
11,ophxwt,1434,3,x,ophxwt
11,ophxwt,1746,4,w,ophxwt
11,ophxwt,1966,5,t,ophxwt
12,hyohcy,0,0,h,hyohcy
12,hyohcy,187,1,y,hyohcy
12,hyohcy,903,2,o,hyohcy
12,hyohcy,1278,3,h,hyohcy
12,hyohcy,1934,4,c,hyohcy
12,hyohcy,2089,5,y,hyohcy
13,jkawe,0,0,j,jkawe
13,jkawe,187,1,k,jkawe
13,jkawe,687,2,a,jkawe
13,jkawe,1029,3,w,jkawe
13,jkawe,1310,4,e,jkawe
14,jdlwbu,0,0,j,jdlwbu
14,jdlwbu,155,1,d,jdlwbu
14,jdlwbu,935,2,l,jdlwbu
14,jdlwbu,1124,3,w,jdlwbu
14,jdlwbu,1996,4,b,jdlwbu
14,jdlwbu,2091,5,u,jdlwbu
15,zfcspx,0,0,z,zfcspx
15,zfcspx,312,1,f,zfcspx
15,zfcspx,749,2,c,zfcspx
15,zfcspx,2091,3,s,zfcspx
15,zfcspx,2309,4,p,zfcspx
15,zfcspx,2715,5,x,zfcspx
16,xlndns,0,0,x,xlndns
16,xlndns,93,1,l,xlndns
16,xlndns,687,2,n,xlndns
16,xlndns,967,3,d,xlndns
16,xlndns,1092,4,n,xlndns
16,xlndns,1310,5,s,xlndns
17,prtowz,0,0,p,prtowz
17,prtowz,94,1,r,prtowz
17,prtowz,312,2,t,prtowz
17,prtowz,904,3,o,prtowz
17,prtowz,997,4,w,prtowz
17,prtowz,1871,5,x,prtowz
17,prtowz,2246,6,BackSpace,prtowz
17,prtowz,2496,7,z,prtowz
18,vunbgd,0,0,v,vunbgd
18,vunbgd,62,1,u,vunbgd
18,vunbgd,312,2,n,vunbgd
18,vunbgd,904,3,b,vunbgd
18,vunbgd,1154,4,g,vunbgd
18,vunbgd,1371,5,d,vunbgd
19,dfzoua,0,0,d,dfzoua
19,dfzoua,250,1,f,dfzoua
19,dfzoua,1154,2,z,dfzoua
19,dfzoua,1934,3,o,dfzoua
19,dfzoua,2121,4,u,dfzoua
19,dfzoua,2776,5,a,dfzoua
20,evvphq,0,0,e,evvphq
20,evvphq,249,1,v,evvphq
20,evvphq,437,2,v,evvphq
20,evvphq,1029,3,p,evvphq
20,evvphq,1279,4,h,evvphq
20,evvphq,1591,5,q,evvphq
21,mkacsn,0,0,m,mkacsn
21,mkacsn,437,1,k,mkacsn
21,mkacsn,718,2,a,mkacsn
21,mkacsn,1779,3,c,mkacsn
21,mkacsn,1997,4,s,mkacsn
21,mkacsn,3027,5,n,mkacsn
22,psdrwk,0,0,p,psdrwk
22,psdrwk,94,1,s,psdrwk
22,psdrwk,406,2,d,psdrwk
22,psdrwk,1404,3,r,psdrwk
22,psdrwk,1779,4,w,psdrwk
22,psdrwk,1996,5,k,psdrwk
23,nwmxxf,0,0,n,nwmxxf
23,nwmxxf,936,1,w,nwmxxf
23,nwmxxf,1371,2,m,nwmxxf
23,nwmxxf,1903,3,x,nwmxxf
23,nwmxxf,2246,4,x,nwmxxf
23,nwmxxf,2808,5,f,nwmxxf
24,vtljjo,0,0,v,vtljjo
24,vtljjo,312,1,t,vtljjo
24,vtljjo,999,2,l,vtljjo
24,vtljjo,1404,3,j,vtljjo
24,vtljjo,1559,4,j,vtljjo
24,vtljjo,1841,5,o,vtljjo
25,odkfey,0,0,o,odkfey
25,odkfey,125,1,d,odkfey
25,odkfey,967,2,k,odkfey
25,odkfey,1652,3,f,odkfey
25,odkfey,1809,4,e,odkfey
25,odkfey,1841,5,y,odkfey
26,zjjrwa,0,0,z,zjjrwa
26,zjjrwa,685,1,j,zjjrwa
26,zjjrwa,842,2,j,zjjrwa
26,zjjrwa,1279,3,r,zjjrwa
26,zjjrwa,1434,4,w,zjjrwa
26,zjjrwa,1621,5,a,zjjrwa
27,knldkl,0,0,k,knldkl
27,knldkl,156,1,n,knldkl
27,knldkl,1217,2,l,knldkl
27,knldkl,1966,3,d,knldkl
27,knldkl,2059,4,k,knldkl
27,knldkl,2214,5,l,knldkl
28,oahpnh,0,0,o,oahpnh
28,oahpnh,218,1,a,oahpnh
28,oahpnh,904,2,h,oahpnh
28,oahpnh,1717,3,p,oahpnh
28,oahpnh,1996,4,n,oahpnh
28,oahpnh,2184,5,h,oahpnh
29,uchedt,0,0,u,uchedt
29,uchedt,1279,1,c,uchedt
29,uchedt,1529,2,h,uchedt
29,uchedt,1653,3,e,uchedt
29,uchedt,1871,4,d,uchedt
29,uchedt,2808,5,t,uchedt
30,dawuva,0,0,d,dawuva
30,dawuva,155,1,a,dawuva
30,dawuva,687,2,w,dawuva
30,dawuva,1590,3,u,dawuva
30,dawuva,1840,4,v,dawuva
30,dawuva,2214,5,a,dawuva
31,weqppe,0,0,w,weqppe
31,weqppe,94,1,e,weqppe
