stimulus_index,stimulus,input_time_ms,input_index,key_symbol,transcribed_string
0,pshegog,0,0,p,pshegog
0,pshegog,187,1,s,pshegog
0,pshegog,312,2,h,pshegog
0,pshegog,498,3,e,pshegog
0,pshegog,779,4,g,pshegog
0,pshegog,904,5,o,pshegog
0,pshegog,1029,6,g,pshegog
1,yrchgp,0,0,y,yrchgp
1,yrchgp,155,1,r,yrchgp
1,yrchgp,436,2,c,yrchgp
1,yrchgp,592,3,h,yrchgp
1,yrchgp,1029,4,g,yrchgp
1,yrchgp,1247,5,p,yrchgp
2,oahpnh,0,0,o,oahpnh
2,oahpnh,125,1,a,oahpnh
2,oahpnh,249,2,h,oahpnh
2,oahpnh,561,3,p,oahpnh
2,oahpnh,811,4,n,oahpnh
2,oahpnh,1248,5,h,oahpnh
3,ophzwt,0,0,o,ophzwt
3,ophzwt,217,1,p,ophzwt
3,ophzwt,499,2,h,ophzwt
3,ophzwt,935,3,z,ophzwt
3,ophzwt,1340,4,w,ophzwt
3,ophzwt,1621,5,t,ophzwt
4,vrphmee,0,0,v,vrphmee
4,vrphmee,249,1,r,vrphmee
4,vrphmee,468,2,p,vrphmee
4,vrphmee,1591,3,h,vrphmee
4,vrphmee,1871,4,m,vrphmee
4,vrphmee,2028,5,e,vrphmee
4,vrphmee,2217,6,e,vrphmee
5,kmrynj,0,0,k,kmrynj
5,kmrynj,217,1,m,kmrynj
5,kmrynj,435,2,r,kmrynj
5,kmrynj,624,3,y,kmrynj
5,kmrynj,904,4,n,kmrynj
5,kmrynj,2371,5,j,kmrynj
6,varawz,0,0,v,varawz
6,varawz,156,1,a,varawz
6,varawz,281,2,r,varawz
6,varawz,374,3,a,varawz
6,varawz,842,4,w,varawz
6,varawz,1248,5,z,varawz
7,jflurm',0,0,j,jflurm'
7,jflurm',187,1,f,jflurm'
7,jflurm',435,2,l,jflurm'
7,jflurm',747,3,u,jflurm'
7,jflurm',935,4,r,jflurm'
7,jflurm',1496,5,m,jflurm'
7,jflurm',1809,6,quoteright,jflurm'
8,jdlwbu,0,0,j,jdlwbu
8,jdlwbu,218,1,d,jdlwbu
8,jdlwbu,686,2,l,jdlwbu
8,jdlwbu,1184,3,w,jdlwbu
8,jdlwbu,1559,4,b,jdlwbu
8,jdlwbu,1716,5,u,jdlwbu
9,gjrpqt,0,0,g,gjrpqt
9,gjrpqt,717,1,j,gjrpqt
9,gjrpqt,967,2,r,gjrpqt
9,gjrpqt,1217,3,p,gjrpqt
9,gjrpqt,1903,4,q,gjrpqt
9,gjrpqt,2153,5,t,gjrpqt
10,zfcspx,0,0,z,zfcspx
10,zfcspx,250,1,f,zfcspx
10,zfcspx,592,2,c,zfcspx
10,zfcspx,1060,3,s,zfcspx
10,zfcspx,1404,4,p,zfcspx
10,zfcspx,1684,5,x,zfcspx
11,vunbgd,0,0,v,vunbgd
11,vunbgd,125,1,u,vunbgd
11,vunbgd,375,2,n,vunbgd
11,vunbgd,842,3,b,vunbgd
11,vunbgd,1467,4,g,vunbgd
11,vunbgd,1779,5,d,vunbgd
